uid,page,pagepdf,name,region,depto,muni,deptos,ings,instruc,dificultad,raciones_min,raciones_max,tiempo,tiempo_mins,tiempo_dias,line_original
brevas-con-arequipe,321,407,Brevas con arequipe,Boyacá y Cundinamarca,NA,NA,Boyacá - Cundinamarca,NA,"separarlas del todo, y se rellenan con un poco de arequipe.",NA,NA,NA,NA,NA,NA,"Brevas con arequipe B o ya c á - C u n d i n a m a r c a Una vez cocinadas las brevas en almíbar (ver receta si­guiente), se cortan en dos, sin separarlas del todo, y se rellenan con un poco de arequipe."
brevas-en-almibar,321,407,Brevas en almíbar,Boyacá y Cundinamarca,Cundinamarca,NA,NA,7 tazas de agua · 2 libras (1 kg) de brevas · 3 libras (1½ kg) de azúcar · jugo de limón (gotas).,"Se les hace un corte a las brevas por la parte gruesa, se co­cinan en 4 tazas de agua, en olla a presión por 10 minutos (de pito) y se destapan. Se agregan el azúcar y 3 tazas más de agua y se dejan calar por 3 horas a fuego lento. Se les ponen unas gotas de limón y se sirven en dulceras una vez frías.",1,12,14,3¼ horas,195,NA,"Brevas en almíbar Cundinamarca Grado de dificultad * | Tiempo de cocción: 3¼ horas | Raciones: 12 a 14 7 tazas de agua · 2 libras (1 kg) de brevas · 3 libras (1½ kg) de azúcar · jugo de limón (gotas). Se les hace un corte a las brevas por la parte gruesa, se co­cinan en 4 tazas de agua, en olla a presión por 10 minutos (de pito) y se destapan. Se agregan el azúcar y 3 tazas más de agua y se dejan calar por 3 horas a fuego lento. Se les ponen unas gotas de limón y se sirven en dulceras una vez frías."
bunuelos-77,NA,77,"Buñuelos, 77",Antioquia y Viejo Caldas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bunuelos-de-frijol-de-cabecita-negra,227,313,Buñuelos de fríjol de cabecita negra,Costa Atlántica,Atlántico,Barranquilla,NA,"1 libra (500 gr) de fríjol de cabecita negra, remojada desde la víspera · 2 huevos batidos · 1 cucharada de fécula de maíz · sal · pizca de azúcar (opcional) · aceite.","Se ponen los fríjoles a medio cocinar (que no queden blandos). Se bajan del fuego, se dejan reposar, se deshollejan y se mue­len bien finos. Se agregan los huevos, sal, azúcar, la fécula, y se bate bien con una cuchara de palo hasta que quede una masa suave. Con la misma cuchara se toman porciones y se van echando al aceite caliente hasta que se esponjen y doren.",1,8,10,45 minutos,45,NA,"Buñuelos de fríjol de cabecita negra B a r r a n q u i l l a , At l á n t i c o Grado de dificultad * | Tiempo de preparación: 45 minutos | Raciones: 8 a 10 1 libra (500 gr) de fríjol de cabecita negra, remojada desde la víspera · 2 huevos batidos · 1 cucharada de fécula de maíz · sal · pizca de azúcar (opcional) · aceite. Se ponen los fríjoles a medio cocinar (que no queden blandos). Se bajan del fuego, se dejan reposar, se deshollejan y se mue­len bien finos. Se agregan los huevos, sal, azúcar, la fécula, y se bate bien con una cuchara de palo hasta que quede una masa suave. Con la misma cuchara se toman porciones y se van echando al aceite caliente hasta que se esponjen y doren."
bunuelos-de-fruto-del-arbol-del-pan,43,43,Buñuelos de fruto del árbol del pan,Costa Pacífica,Chocó,NA,NA,NA,"Los mismos ingredientes de las arepas (ver receta corres­pondiente), pero de los huevos solo se utilizan las yemas. Una vez obtenida la masa, se mezcla con las yemas y la sal, se amasa bien y se toman porciones, se hacen bolitas y se ponen a freír en aceite hasta que estén doradas.",1,12,14,1 hora,60,NA,"Buñuelos de fruto del árbol del pan Chocó Grado de dificultad * | Tiempo de preparación: 1 hora | Raciones: 12 a 14 Los mismos ingredientes de las arepas (ver receta corres­pondiente), pero de los huevos solo se utilizan las yemas. Una vez obtenida la masa, se mezcla con las yemas y la sal, se amasa bien y se toman porciones, se hacen bolitas y se ponen a freír en aceite hasta que estén doradas."
butifarra,227,313,Butifarra,Costa Atlántica,Atlántico,Soledad,NA,"1 libra (500 gr) de carne pulpa (molida o picada) · 1 libra (500 gr) de tocino sin cuero, picado fino · tripa delgada de cerdo · suficiente pimienta picante · sal a gusto.","Se rellena la tripa con la carne de res, adobada en bastante pimienta y sal, mezclada con el tocino y bien amasada. Se ha­cen las bolitas, dividiendo la tripa al anudar con una cuerda. Se escaldan en agua hirviendo por 15 minutos y se dejan secar al sol por 3 horas. Luego se cuelgan a resecar al humo de leña por 4 horas.",1,NA,NA,NA,NA,NA,"Butifarra S o l e d a d , At l á n t i c o Grado de dificultad * 1 libra (500 gr) de carne pulpa (molida o picada) · 1 libra (500 gr) de tocino sin cuero, picado fino · tripa delgada de cerdo · suficiente pimienta picante · sal a gusto. Se rellena la tripa con la carne de res, adobada en bastante pimienta y sal, mezclada con el tocino y bien amasada. Se ha­cen las bolitas, dividiendo la tripa al anudar con una cuerda. Se escaldan en agua hirviendo por 15 minutos y se dejan secar al sol por 3 horas. Luego se cuelgan a resecar al humo de leña por 4 horas."
cabellito-de-papaya-biche,70,70,Cabellito de papaya biche,Costa Pacífica,Cauca,Guapi,NA,(ver pp. 168 -169) 1 papaya biche grande · ½ litro de agua · 1 libra (500 gr) de azúcar.,"Se corta la piel de la papaya y se deja deslechar por un día. Se pela, se corta la pulpa en trozos y luego en palitos (lo más del­gados posibles). Se ponen a calar en agua de azúcar, hasta que estén a punto.",2,12,14,20 minutos en 2 días,20,2,"Cabellito de papaya biche Guapi, Cauca Grado de dificultad ** | Tiempo de preparación: 20 minutos en 2 días | Raciones: 12 a 14 (ver pp. 168 -169) 1 papaya biche grande · ½ litro de agua · 1 libra (500 gr) de azúcar. Se corta la piel de la papaya y se deja deslechar por un día. Se pela, se corta la pulpa en trozos y luego en palitos (lo más del­gados posibles). Se ponen a calar en agua de azúcar, hasta que estén a punto."
cabeza-de-cordero-rostro-divino,307,393,Cabeza de cordero [rostro divino],Boyacá y Cundinamarca,Boyacá,Santa Rosa de Viterbo,NA,"1 cabeza de cordero, grande · 1 taza de grasa de gallina (infundia) · 2 cervezas negras (1½ litro) · ½ cucharadita de albahaca, pi­cada · ½ cucharadita de tomillo, molido · ½ cucharadita de oré­gano, molido · 2 tallos de cebolla junca, picados · 2 dientes de ajo, picados · ½ cucharadita de achiote (o color) · sal, comino y pi­mienta a gusto.","Se lava y se churrusca la cabeza, se vuelve a lavar y se deslava, hasta que quede muy limpia. Se pone a cocinar en una marmita (una olla de hierro es más adecuada) con el resto de ingredientes, por 1 hora aproximadamente. Se saca y se pica. Se sirve acompañada de arepas.",2,6,8,1 hora,60,NA,"Cabeza de cordero [rostro divino] S a n ta R o s a d e V i t e r b o , B o ya c á Grado de dificultad ** | Tiempo de cocción: 1 hora | Raciones: 6 a 8 1 cabeza de cordero, grande · 1 taza de grasa de gallina (infundia) · 2 cervezas negras (1½ litro) · ½ cucharadita de albahaca, pi­cada · ½ cucharadita de tomillo, molido · ½ cucharadita de oré­gano, molido · 2 tallos de cebolla junca, picados · 2 dientes de ajo, picados · ½ cucharadita de achiote (o color) · sal, comino y pi­mienta a gusto. Se lava y se churrusca la cabeza, se vuelve a lavar y se deslava, hasta que quede muy limpia. Se pone a cocinar en una marmita (una olla de hierro es más adecuada) con el resto de ingredientes, por 1 hora aproximadamente. Se saca y se pica. Se sirve acompañada de arepas."
cabrito-al-horno,206,292,Cabrito al horno,Santanderes,Santander,NA,NA,"4 libras (2 kg) de cabro (costilla), picado · 1 cucharadita de sal nitro · 1 cucharadita de cominos · 1 cucharadita de pimienta · 5 dientes de ajo, picado · 2 cucharadas de pan rallado · sal y pimienta a gusto.","Se adoban las costillas con la sal de nitro, los cominos, sal y pimienta, se frotan bien con el ajo y se dejan reposar 1 hora. Se ponen en una olla a presión por 30 minutos, se sacan, se dejan reposar, y se espolvorean con el pan rallado. Se ponen sobre una lata engrasada y se llevan al horno precalentado a 350°, por 30 minutos. Se acompa- ñan con pepitoria y yuca frita.",2,6,8,1 hora,60,NA,"Cabrito al horno S a n ta n d e r Grado de dificultad ** | Tiempo de cocción: 1 hora | Raciones: 6 a 8 4 libras (2 kg) de cabro (costilla), picado · 1 cucharadita de sal nitro · 1 cucharadita de cominos · 1 cucharadita de pimienta · 5 dientes de ajo, picado · 2 cucharadas de pan rallado · sal y pimienta a gusto. Se adoban las costillas con la sal de nitro, los cominos, sal y pimienta, se frotan bien con el ajo y se dejan reposar 1 hora. Se ponen en una olla a presión por 30 minutos, se sacan, se dejan reposar, y se espolvorean con el pan rallado. Se ponen sobre una lata engrasada y se llevan al horno precalentado a 350°, por 30 minutos. Se acompa- ñan con pepitoria y yuca frita."
cabrito-envuelto,243,329,Cabrito envuelto,Costa Atlántica,Córdoba,Sinú,NA,"8 bocachicos pequeños, secos y salados · 3 cebollas cabezonas grandes, peladas y cortadas en rodajas · 3 tomates maduros, pe­lados y cortados en rodajas · 2 cucharadas de manteca (o aceite) · 3 cucharadas de jugo de limón · sal y pimienta · hojas de bijao (o plátano) quebrantadas. 3 libras (1½ kg) de calamares medianos · ½ libra (250 gr) de cebolla cabezona, pelada y picada · 4 dientes de ajo picados · 1 pi­mentón verde picado · ¼ taza de pasta de tomate · ¼ taza de crema de leche · 1 cucharadita de tomillo · 2 huevos duros picados · 2 ta­zas de arroz cocido · ¼ libra (125 gr) de mantequilla · ½ copa de brandy (o jerez seco) · 1 taza de leche · ½ taza de miga de pan, rallada · sal y pimienta a gusto.","El pescado se pone en agua tibia por 20 minutos para desa­larlo. Se seca, se abre y se frota con limón, sal y pimienta. Se acomodan las rodajas de los tomates y de las cebollas en el vientre de cada pescado, que, a su vez, se envuelve con las hojas, y se po­nen a asar a la brasa, a calor muy suave por 1 hora. Calamares rellenos Sucre Se limpian los calamares y se dejan en agua hirviendo por 5 minutos. Se prepara un relleno con las paticas de los cala­mares picadas, la cebolla, el ajo, el pimentón, el arroz, los huevos y el tomillo mezclados. Se sofríen en la mitad de la mantequilla añadiendo la mitad de la pasta de tomate, un poco de crema de leche y un poco de brandy (o jerez); se mez­cla todo muy bien y se rellenan los calamares. Se ponen en un molde de un tamaño justo para que queden parados, recos­tados uno contra otro. Se prepara una salsa con la mantequilla, la pasta de tomate, la crema de leche, la leche y el brandy res­tantes. Se revuelve y se pone a cocinar a fuego lento, se vierte por encima de los calamares, se espolvorea con el pan rallado y se colocan al horno precalentado a 300°, por 15 minutos.",3,8,NA,1 hora,60,NA,"Cabrito envuelto Sinú, Córdoba Grado de dificultad *** | Tiempo de cocción: 1 hora | Raciones: 8 8 bocachicos pequeños, secos y salados · 3 cebollas cabezonas grandes, peladas y cortadas en rodajas · 3 tomates maduros, pe­lados y cortados en rodajas · 2 cucharadas de manteca (o aceite) · 3 cucharadas de jugo de limón · sal y pimienta · hojas de bijao (o plátano) quebrantadas. El pescado se pone en agua tibia por 20 minutos para desa­larlo. Se seca, se abre y se frota con limón, sal y pimienta. Se acomodan las rodajas de los tomates y de las cebollas en el vientre de cada pescado, que, a su vez, se envuelve con las hojas, y se po­nen a asar a la brasa, a calor muy suave por 1 hora. Calamares rellenos Sucre Grado de dificultad ** | Tiempo de cocción: 50 minutos | Raciones: 10 a 12 3 libras (1½ kg) de calamares medianos · ½ libra (250 gr) de cebolla cabezona, pelada y picada · 4 dientes de ajo picados · 1 pi­mentón verde picado · ¼ taza de pasta de tomate · ¼ taza de crema de leche · 1 cucharadita de tomillo · 2 huevos duros picados · 2 ta­zas de arroz cocido · ¼ libra (125 gr) de mantequilla · ½ copa de brandy (o jerez seco) · 1 taza de leche · ½ taza de miga de pan, rallada · sal y pimienta a gusto. Se limpian los calamares y se dejan en agua hirviendo por 5 minutos. Se prepara un relleno con las paticas de los cala­mares picadas, la cebolla, el ajo, el pimentón, el arroz, los huevos y el tomillo mezclados. Se sofríen en la mitad de la mantequilla añadiendo la mitad de la pasta de tomate, un poco de crema de leche y un poco de brandy (o jerez); se mez­cla todo muy bien y se rellenan los calamares. Se ponen en un molde de un tamaño justo para que queden parados, recos­tados uno contra otro. Se prepara una salsa con la mantequilla, la pasta de tomate, la crema de leche, la leche y el brandy res­tantes. Se revuelve y se pone a cocinar a fuego lento, se vierte por encima de los calamares, se espolvorea con el pan rallado y se colocan al horno precalentado a 300°, por 15 minutos."
cabro-barichara,206,292,Cabro Barichara,Santanderes,Santander,Barichara,NA,"1 cabro tierno y gordo que después de despresado pese de 15 a 20 libras (7½ a 10 kg) · 8 tallos de cebolla junca, picados · 1 taza de perejil, picado finamente · 1 taza de cilantro, picado finamente · 1 cucharada de semillas de cilantro, molidas · 4 dientes de ajo, pi­ cados finamente · 1 taza de vinagre · 2 tazas de miga de pan, rallado · 2 cucharadas de achiote · ½ taza de manteca de cerdo o aceite · 1 tallo de cebolla larga, grueso · sal, pimienta y cominos a gusto.","Se mata el cabro, se recoge la sangre en un caldero o paila y se guarda para la pepito- ria. Se despresa y se remoja la carne en agua que la cubra, con sal, parte de la cebolla junca y el cilantro picado, por 2 o 3 horas. Se saca y se chuza por todos lados con la punta de un cuchillo para impregnarla bien con los condimentos (vinagre, pimienta, cominos, sal y ajos). Ya condimentadas las presas, se dejan reposar cubiertas con un paño húmedo hasta el día siguiente. Se ponen a cocinar en agua suficiente que las cubra, y se les agrega sal, las semillas de cilantro, y el perejil y la cebolla picados. Se deja hervir a fuego lento hasta que ablande la carne (1 hora). Se sacan las presas y se dejan escurrir. Al tiempo de asarlas se adoban nuevamente, pieza por pieza, esta vez con la manteca y el achiote aplicados con la cebolla larga cortada en forma de brochita. Se les espolvorea el pan rallado, y se colocan en una parrilla de carbón, luego se cortan en por­ciones pequeñas y se sirven. (Se conservan hasta 3 días en la ne­vera). Se pueden hornear ½ hora a 300°, pero es siempre me­jor asarlas al carbón. Se acompaña con yuca cocida o frita, papas chorreadas, ají y pepitoria.",2,20,25,1½ hora,90,NA,"Cabro Barichara B a r i c h a r a , S a n ta n d e r Grado de dificultad ** | Tiempo de cocción: 1½ hora | Raciones: 20 a 25 1 cabro tierno y gordo que después de despresado pese de 15 a 20 libras (7½ a 10 kg) · 8 tallos de cebolla junca, picados · 1 taza de perejil, picado finamente · 1 taza de cilantro, picado finamente · 1 cucharada de semillas de cilantro, molidas · 4 dientes de ajo, pi­ cados finamente · 1 taza de vinagre · 2 tazas de miga de pan, rallado · 2 cucharadas de achiote · ½ taza de manteca de cerdo o aceite · 1 tallo de cebolla larga, grueso · sal, pimienta y cominos a gusto. Se mata el cabro, se recoge la sangre en un caldero o paila y se guarda para la pepito- ria. Se despresa y se remoja la carne en agua que la cubra, con sal, parte de la cebolla junca y el cilantro picado, por 2 o 3 horas. Se saca y se chuza por todos lados con la punta de un cuchillo para impregnarla bien con los condimentos (vinagre, pimienta, cominos, sal y ajos). Ya condimentadas las presas, se dejan reposar cubiertas con un paño húmedo hasta el día siguiente. Se ponen a cocinar en agua suficiente que las cubra, y se les agrega sal, las semillas de cilantro, y el perejil y la cebolla picados. Se deja hervir a fuego lento hasta que ablande la carne (1 hora). Se sacan las presas y se dejan escurrir. Al tiempo de asarlas se adoban nuevamente, pieza por pieza, esta vez con la manteca y el achiote aplicados con la cebolla larga cortada en forma de brochita. Se les espolvorea el pan rallado, y se colocan en una parrilla de carbón, luego se cortan en por­ciones pequeñas y se sirven. (Se conservan hasta 3 días en la ne­vera). Se pueden hornear ½ hora a 300°, pero es siempre me­jor asarlas al carbón. Se acompaña con yuca cocida o frita, papas chorreadas, ají y pepitoria."
cacao,260,346,Cacao,Tolima y Huila,Huila,NA,NA,"1 libra (500 gr) de cacao · ½ libra (250 gr) de panela raspada, pizca de guayabita. 1 libra (500 gr) de cacao · ½ libra (250 gr) de panela raspada · 1 huevo · harina de maíz.","Chucula Se despepa el cacao de la maseta, y se pone al sol hasta que se­que bien. En un ties- to de barro caliente se ponen a tostar los granos cuidando de que no se quemen; cuando las cáscaras re­vienten, se desprenden y se saca el cacao. Se muele fino con un poco de guayabita, canela, clavo de olor molido y una pizca de sal. A una libra de cacao se le mezcla ½ libra (250 gr) de panela raspada (o más, si se desea). Se mezclan bien, se soban y se forman unas bolitas con las manos que se conservan tapadas en tarros de galletas. La chocula se prepara igual que el cacao, agregándoles a las bolitas antes de formarlas un poco de harina de maíz y un huevo batido. Para prepararlas se pone una bola de cacao o de chocula en una taza de agua o leche o una combinación de las dos, en una olleta, y se lleva al fuego, se bate con un mo­linillo hasta que la bola se disuelva, hierva un poco y quede bastante espumosa.",2,NA,NA,15 minutos,15,NA,"Cacao Huila Grado de dificultad ** | Tiempo de cocción: 15 minutos 1 libra (500 gr) de cacao · ½ libra (250 gr) de panela raspada, pizca de guayabita. Chucula 1 libra (500 gr) de cacao · ½ libra (250 gr) de panela raspada · 1 huevo · harina de maíz. Se despepa el cacao de la maseta, y se pone al sol hasta que se­que bien. En un ties- to de barro caliente se ponen a tostar los granos cuidando de que no se quemen; cuando las cáscaras re­vienten, se desprenden y se saca el cacao. Se muele fino con un poco de guayabita, canela, clavo de olor molido y una pizca de sal. A una libra de cacao se le mezcla ½ libra (250 gr) de panela raspada (o más, si se desea). Se mezclan bien, se soban y se forman unas bolitas con las manos que se conservan tapadas en tarros de galletas. La chocula se prepara igual que el cacao, agregándoles a las bolitas antes de formarlas un poco de harina de maíz y un huevo batido. Para prepararlas se pone una bola de cacao o de chocula en una taza de agua o leche o una combinación de las dos, en una olleta, y se lleva al fuego, se bate con un mo­linillo hasta que la bola se disuelva, hierva un poco y quede bastante espumosa."
cachama,130,130,Cachama,Llanos y Amazonia,Llanos,NA,Llanos,NA,La cachama es el pescado favorito del llanero. Lo cocina su­dado o lo asa a la brasa.,NA,NA,NA,NA,NA,NA,Cachama Llanos Pescado mediano o grande de río (ver foto p. 189) La cachama es el pescado favorito del llanero. Lo cocina su­dado o lo asa a la brasa.
cachama-asada,130,130,Cachama asada,Llanos y Amazonia,Llanos,NA,Llanos,NA,"Se limpia muy bien el pescado, se adoba con cebolla larga majada, ají, onoto (achio- te), jugo de limón, cominos y sal, por fuera y por dentro. Se pone a asar a fuego lento, hasta que se dore por ambos lados.",3,8,10,1½ hora,90,0,"Cachama asada Llanos Grado de dificultad *** | Tiempo de preparación: 1½ hora | Raciones: 8 a 10 Se limpia muy bien el pescado, se adoba con cebolla larga majada, ají, onoto (achio- te), jugo de limón, cominos y sal, por fuera y por dentro. Se pone a asar a fuego lento, hasta que se dore por ambos lados."
cachama-sudada,131,131,Cachama sudada,Llanos y Amazonia,Llanos,NA,NA,"1 cachama grande · 1 libra (500 gr) de yuca · 4 plátanos topochos, pelados y picados · 2 tallos de cebolla larga, picados · 2 dientes de ajo, majados · sal y cominos a gusto. 3 libras (1½ kg) de carne de res (lomo) · sal a gusto.","Se ponen a cocinar la yuca y los plátanos, con los ajos, la cebolla, sal y cominos, por 25 minutos. Se les agrega el pescado partido en porciones, se tapa la olla y se deja cocinar por 15 minutos a fuego lento, se saca y se sirve con la salsa. Se acompaña con arroz y charapas. Carne asada - tungos M e ta Se corta la carne en porciones delgadas. Se les pone un poco de sal y se asan a la parrilla. Se sirven sobre hojas de plátano y se acompañan con tungos.",2,6,8,40 minutos,40,NA,"Cachama sudada Llanos Grado de dificultad ** | Tiempo de cocción: 40 minutos | Raciones: 6 a 8 1 cachama grande · 1 libra (500 gr) de yuca · 4 plátanos topochos, pelados y picados · 2 tallos de cebolla larga, picados · 2 dientes de ajo, majados · sal y cominos a gusto. Se ponen a cocinar la yuca y los plátanos, con los ajos, la cebolla, sal y cominos, por 25 minutos. Se les agrega el pescado partido en porciones, se tapa la olla y se deja cocinar por 15 minutos a fuego lento, se saca y se sirve con la salsa. Se acompaña con arroz y charapas. Carne asada - tungos M e ta Grado de dificultad ** | Tiempo de cocción: 25 minutos | Raciones: 6 a 8 3 libras (1½ kg) de carne de res (lomo) · sal a gusto. Se corta la carne en porciones delgadas. Se les pone un poco de sal y se asan a la parrilla. Se sirven sobre hojas de plátano y se acompañan con tungos."
cachapas,122,122,Cachapas,Llanos y Amazonia,Arauca,NA,NA,10 mazorcas · azúcar (o panela raspada) · sal.,"Se desgranan y se muelen las mazorcas (que quede una masa lechosa). Se le agrega sal, azúcar (o panela raspada y opcionalmente le­che). Se calienta un budare (plancha de hierro o barro) y se engrasa con gordana de res, manteca o mantequilla. Con una cuchara grande se van sacando porciones y se asan, volteándolas con cuidado. Es habitual comerlas con queso blanco rallado rociado por encima.",2,6,8,40 minutos,40,NA,"Cachapas Arauca Grado de dificultad ** | Tiempo de preparación: 40 minutos | Raciones: 6 a 8 10 mazorcas · azúcar (o panela raspada) · sal. Se desgranan y se muelen las mazorcas (que quede una masa lechosa). Se le agrega sal, azúcar (o panela raspada y opcionalmente le­che). Se calienta un budare (plancha de hierro o barro) y se engrasa con gordana de res, manteca o mantequilla. Con una cuchara grande se van sacando porciones y se asan, volteándolas con cuidado. Es habitual comerlas con queso blanco rallado rociado por encima."
cafe-con-jengibre,216,302,Café con jengibre,Costa Atlántica,Cesar,NA,NA,"½ libra (250 gr) de café molido · 1 cucharadita de jengibre, rallado · agua hirviendo · azúcar a gusto.",Se ponen el café y el jengibre a colar con el agua hirviendo. Se sirve y se le agrega azúcar a gusto individual.,1,NA,NA,10 minutos,10,NA,"Café con jengibre Cesar Grado de dificultad * | Tiempo de preparación: 10 minutos ½ libra (250 gr) de café molido · 1 cucharadita de jengibre, rallado · agua hirviendo · azúcar a gusto. Se ponen el café y el jengibre a colar con el agua hirviendo. Se sirve y se le agrega azúcar a gusto individual."
calamares-rellenos,NA,329,Calamares rellenos,Costa Atlántica,NA,Sucre,NA,"3 libras (11⁄2 kg) de calamares medianos · 1⁄2 libra (250 gr) de cebolla cabezona, pelada y
picada · 4 dientes de ajo picados · 1 pi­mentón verde picado · 1⁄4 taza de pasta de tomate ·
1⁄4 taza de crema de leche · 1 cucharadita de tomillo · 2 huevos duros picados · 2 ta­zas de
arroz cocido · 1⁄4 libra (125 gr) de mantequilla · 1⁄2 copa de brandy (o jerez seco) · 1 taza
de leche · 1⁄2 taza de miga de pan, rallada · sal y pimienta a gusto","Se limpian los calamares y se dejan en agua hirviendo por 5 minutos. Se prepara
un relleno con las paticas de los cala­mares picadas, la cebolla, el ajo, el pimentón, el arroz, los huevos y el tomillo mezclados. Se sofríen en la mitad de la mantequilla añadiendo la mitad de la pasta de tomate, un poco de crema de leche y un poco de brandy (o jerez); se mez­cla todo muy bien y se rellenan los calamares. Se ponen en un molde de un tamaño justo para que queden parados, recos­tados uno contra otro. Se prepara una salsa con la mantequilla, la pasta de tomate, la crema de leche, la leche y el brandy res­tantes. Se revuelve y se pone a cocinar a fuego lento, se vierte por encima de los calamares, se  espolvorea con el pan rallado y se colocan al horno
precalentado a 300 °, por 15 minutos.",2,10,12,50 minutos,50,0,"Calamares rellenos  S u c r e
|
|
Grado de dificultad **    Tiempo de cocción: 50 minutos    Raciones: 10 a 12g r a n l i b ro d e l a co c i na co l o m b i a na
330
3 libras (11⁄2 kg) de calamares medianos · 1⁄2 libra (250 gr) de cebolla cabezona, pelada y
picada · 4 dientes de ajo picados · 1 pi­mentón verde picado · 1⁄4 taza de pasta de tomate ·
1⁄4 taza de crema de leche · 1 cucharadita de tomillo · 2 huevos duros picados · 2 ta­zas de
arroz cocido · 1⁄4 libra (125 gr) de mantequilla · 1⁄2 copa de brandy (o jerez seco) · 1 taza
de leche · 1⁄2 taza de miga de pan, rallada · sal y pimienta a gusto.
Se limpian los calamares y se dejan en agua hirviendo por 5 minutos. Se prepara
un relleno con las paticas de los cala­mares picadas, la cebolla, el ajo, el pimentón,
el arroz, los huevos y el tomillo mezclados. Se sofríen en la mitad de la mantequilla
añadiendo la mitad de la pasta de tomate, un poco de crema de leche y un poco de
brandy (o jerez); se mez­cla todo muy bien y se rellenan los calamares. Se ponen en
un molde de un tamaño justo para que queden parados, recos­tados uno contra otro.
Se prepara una salsa con la mantequilla, la pasta de tomate, la crema de leche, la
leche y el brandy res­tantes. Se revuelve y se pone a cocinar a fuego lento, se vierte
por encima de los calamares, se espolvorea con el pan rallado y se colocan al horno
precalentado a 300 °, por 15 minutos."
calamares-rellenos-329,NA,329,"Calamares rellenos, 329",Costa Atlántica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caldo-basico-antioquia-y-viejo-caldas,NA,78,Caldo básico [Antioquia y Viejo Caldas],Antioquia y Viejo Caldas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caldo-basico-costa-atlantica,NA,304,Caldo básico [Costa Atlántica],Costa Atlántica,NA,NA,NA,"16 tazas de agua · 2 libras (1 kg) de hueso blanco, picado · 1 libra (500 gr) de carne de
pulpa de res (cohete), picada · 4 tallos de cebolla en rama · 2 cebollas de huevo cortadas
en 4 partes · 4 hojas de repollo · 2 tomates maduros, pelados y picados · 2 dientes de ajo,
picados · sal y pimienta a gusto.","Se ponen la carne y los huesos a cocinar en el agua con la cebolla en rama, hasta que
la carne quede muy blanda (aproximadamente 1 hora a fuego alto y tapando la olla).
Luego se añaden los ajos, los tomates, la cebolla, las hojas de repollo, sal y pimienta y
se deja conservar a fuego lento por otros 30 minutos. Se puede guardar refrigerado,
desgrasándolo, si se desea.",1,8,10,1 1⁄2 hora,90,0,"Caldo básico
Grado de dificultad * | Tiempo de cocción: 11⁄2 hora | Raciones: 8 a 10
16 tazas de agua · 2 libras (1 kg) de hueso blanco, picado · 1 libra (500 gr) de carne de
pulpa de res (cohete), picada · 4 tallos de cebolla en rama · 2 cebollas de huevo cortadas
en 4 partes · 4 hojas de repollo · 2 tomates maduros, pelados y picados · 2 dientes de ajo,
picados · sal y pimienta a gusto.
Se ponen la carne y los huesos a cocinar en el agua con la cebolla en rama, hasta que
la carne quede muy blanda (aproximadamente 1 hora a fuego alto y tapando la olla).
Luego se añaden los ajos, los tomates, la cebolla, las hojas de repollo, sal y pimienta y
se deja conservar a fuego lento por otros 30 minutos. Se puede guardar refrigerado,
desgrasándolo, si se desea."
caldo-basico-santanderes,NA,280,Caldo básico [Santanderes],Santanderes,NA,NA,NA,"En la preparación de algunas sopas se debe hacer previamente como base un caldo,
cuyos ingredientes son::
14 tazas de agua · ½ libra (250 gr) de carne pulpa · 1 libra (500 gr) de huesos carnudos,
preferiblemente de cola (o costillas) · 4 cebollas juncas enteras · 1 tomate grande, pelado y picado · 1 cucharada de perejil picado · sal y pimienta a gusto.","Se ponen a cocinar en abundante agua todos los ingredientes durante unos 45 minutos hasta que la carne esté blanda. Si se desea conservarlo en el refrigerador por algunos días, es conveniente quitar la cebolla para que no se oscurezca el caldo. También es mejor agregar la sal al final de la cocción. Si se va a emplear en otra preparación, siempre es conveniente colarlo.",1,8,8,2 horas,120,0,"Caldo básico
Grado de dificultad * | Tiempo de cocción: 2 horas | Raciones: 8
En la preparación de algunas sopas se debe hacer previamente como base un caldo, cuyos ingredientes son::
14 tazas de agua · ½ libra (250 gr) de carne pulpa · 1 libra (500 gr) de huesos carnudos, preferiblemente de cola (o costillas) · 4 cebollas juncas enteras · 1 tomate grande, pelado
y picado · 1 cucharada de perejil picado · sal y pimienta a gusto. Se ponen a cocinar en abundante agua todos los ingredientes durante unos 45 minutos
hasta que la carne esté blanda. Si se desea conservarlo en el refrigerador por algunos días, es conveniente quitar la cebolla para que no se oscurezca el caldo. También es mejor agregar la sal al final de la cocción. Si se va a emplear en otra preparación, siempre es conveniente colarlo."
